otsikko,teksti,tahdet,url,kieli
Hyvä ja tarpeellinen tuote,Hyvä ja tarpeellinen tuote. Helppo käyttää ja on tehokas.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6,fi
"Halvin paineilma, ja se näkyy","Ostamani purkki oli valmiiksi rikki. Sain vaihdettua uuteen, joka sentään toimii. Tämä on kuitenkin huonoin paineilmapurkki jota olen käyttänyt, en osta uudestaan.",1,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6,fi
Ei turhan kauaa kestä,Pari kertaa putsaa koneen ja se on siinä. Vähän enemmän odottaisi kuitenkin jytyä,4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6,fi
"Edullinen, mutta...","..tulenarka tuote! Ei kannata tupsutella avotulen läheisyydessä, eikä huonosti tuuletetussa tilassa! Haisee nestekaasulle.Hyvä venttiili.",2,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6,fi
Villakoirille kyytiä!,"Tornimalliseen tietkoneeseen alkaa ajan saatossa kertyä pölyä melkoisesti. Koteloa avatessa tulee fiilis kuin arkeologilla joka ensimmäisenä ihmisenä tuhansiin vuosiin pääsee tutkimaan muinaista hautakammiota. Mitähän jänniä äärteita pölykerrosten alta mahtaa löytyä?Onneksi Mr. Muskelknutte antaa pölylle kyytiä niin, että harmaat villakoirta lentää ja pinttynyt pöly pölysee huoneilmaa rikastuttamassa. Kotelon komponenttiaarteet paljastuvat pölykerrosten alta kuin fossiloituneet dinosauruksen luut hiekasta ammattimaisen arkeologin käsissä.",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6,fi
perus näppäimistö suihkuputsipullo,"Ihan ok, tuntuu vaan että aine menee tooooooooodelllla nopeasti loppuun, mutta eipä oli sitäkään hinnasssa pilattu :) Ostan joka kerta kun Verkkokaupassa käyn!",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6,fi
Hyvä tuote,Näppärä apu monenlaiseen puhalteluun. Kätevä pitkä pilli ja liipasin.,4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6,fi
Ei ihan parasta vuoristoilmaa,"Aito luonnon tuote, ainakin hajusta päätellen. Paineet laskee liian nopeasti.",2,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6,fi
Mr. Muskelknutte Air Duster 400ml - tölkki paineilmaa,"Erittäin hyvä tietokoneen sisäsiivoukseen, pölyt lähtee taatusti.",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6,fi
Perus paineilma,"Kiinnitettävä suutin ei aina pysy ihan täysin kiinni. Purkki kestää itselläni muutaman kuukauden. Alussa puhdistusteho erinomainen, loppua kohden kun purkki on melkein tyhjä melko vaatimaton.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=6,fi
Todella laadukasta paineilmaa,"Miellyttävän raikkaan tuoksuista paineilmaa, tätä suihkuttelee mielellään.",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Hyvä tuote,"Riittoisa pullo ja edullinen, tekee minkä pitääkin.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Helppo puhdistus,Helppoa ja kätevää tietokoneen puhdistus tällä. Pääsee joka soppeen hyvin.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Tuote on erittäin hyvä elektroniikan puhdistukseen.,"Ostin tuotteen koska se oli halpa ja halusin testata tuotetta. Tuotteella oli erittäin helppo ja hyvä puhdistaa esim. Tietokoneen komponentit, joten olen tyytyväinen tuotteen hinta laatu suhteeseen. Tuotteessa on yksi huomattava huono ominaisuus eli sen muovinen pilli lähtee irti aika helposti, mutta se ei käyttöä paljon haittaa.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Toimiva ja halpa,Tullut jo useamman vuoden ostettua kyseistä paineilmaa ja on ollut todella toimivaa sekä yhdestä pullosta on riittänyt pidemmällekkin ajalle. Pilli mukana auttaa pääsemään hankalempiinkin paikkoihin.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Paineilma,"Hyvälaatuinen ja riittoisa paineilmapurkki. Halvin, mitä olen löytänyt.",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Mr. Muskelknutte Air Duster 400ml - tölkki paineilmaa,"Toimivaa ja kohtuullisen hintaista paineilmaa, paineen puhdistusteho voisi olla kovempi muuten oikein hyvä tuote.",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Tekee tehtävänsä,Toimii hyvin. Voisi tosin olla hieman riittoisampaakin.,4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Puhidstaa,"Olen käyttänyt tuotteen kerran ja onnistuin poistamaan aika paljon pölyä koneelta. Valitettavasti en pysty vertailemaan tulosta muihin tuotteisiin, joten annan 4*.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Paineilmaa tölkissä,Halpaa tölkki ilmaa.plussat-edullinenmiinukset-pitkässä käytössä pullokylmenee kovasti ja ilma nesteytyy vähän.,3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Halvalla paineilmaa,Halvalla paineilmaa. Suosittelen.Arvostelija on verkkokauppa.com:n työntekijä.,4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Hintaansa nähden laadukas elektroniikan puhdistusväline,"Hinta huomioiden Verkkokauppa.comin ko. tuote on aina antanut vastinetta rahalle. Runsaassa käytössä pullo kylmenee huomattavasti ja ""ilma muuttuu hieman nesteeksi"". Toisaalta en ole havainnut mitään poikkeavaa (tässäkään mielessä) kalliimpiin vaihtoehtoihin nähden. Suosittelen.",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Hinta onkin ainoa positiivinen asia.,"Pullo viilenee todella nopeasti, vain muutaman lyhyehkön painalluksen jälkeen. Kun pullo on kylmä, varsinaisesta ilmanpaineesta ei voida puhua vaan tuntuu, että puhaltamallakin pöly lähtisi paremmin. Lisäksi sylkee ponneainetta ulos todella herkästi. Ei tätä kyllä oikein voi suositella edes halvan hintansa takia - ""halvalla ei saa hyvää"" sanonta pitää jälleen paikkansa.",2,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Halpa ja ihan hyvä paineilmapurkki,"paineilmapurkki! on todella halpa ja hyvä käyttöinen. Haju on kyllä miinus, mut katoa aikaa onneks nopeasti :)",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Paine ja tarve :-),"Paineilma riittää puhdistamaan vaikeita pintoja pölystä, jos pääsee lähelle ja pinta-ala on kohtalaisen pieni. Purkki tuntuu tyhjenevän nopeammin kuin aiemmin.",3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Halpa mutta hyvä,Edullinen ja varmatoiminen paineilmapuhallus. Tölkki kylmenee aika paljon mutta niin tekevät monet muutkin vastaavat tuotteet.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Tölkki paineilmaa...,"Aah, ikuinen väännön aihe, Verkkiksen paineilma!Yleensä ihan hyvälaatuista, mutta välillä sattuu pulloja jotka ovat kuitenkin täynnä ponneainetta, mutta silti puhallus on silti pientä suhinaa.Pullo pitää myös muistaa pitää pystyasennossa, muuten se sylkee ponneainetta puhallettavaan kohteeseen. Kallistelut pitää muistaa tehdä pilliä taivuttelemalla. Vähänkin enemmän yhteen menoon puhallettaessa pullossa oleva ponneaine jäähtyy voimakkaasti ja tällöin myös puhallusteho heikkenee voimakkaasti.Mutta kun pullon pitää pystyasennossa ja puhaltelee sopivissa pätkissä, niin kyllä tämä hintansa haukkuu, siksi suosittelen tuotetta.",3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Loppuu nopeasti,"Loppupullon paineella ei tee oikein mitään, alussa oikein kätevä. Jos pulloa on vähänkin ravistanut vahingossa tai pitää vinossa, niin ruiski ponneainetta ulos, mikä ei ole hyvä juttu. Lisäksi välillä paineilma haisee hirvittävän pahalle (näyttää vaihtuvan pullosta toiseen)",2,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Kohtuuhintaista paineilmaa purkissa,"Edullisuudelle on tosin hintansa: purkki ei ole kovin riittoisa ja ponnenestettä nousee helposti ilmasuihkuun mukaan. Monipakkauksissa hinta on jonkin verran edullisempi, ja vähintään kolmen kappaleen nipuissa näitä kannattaakin vakikäytössä ostaa.En omaa kokemusta muista paineilmapulloista, mutta tämä ei kyllä kauaa kestä. Ajaa muuten asiansa ihan mallikkaasti!Huomaa, että tuotetta kannattaa käyttää vain pystysuunnassa ja ravistamatta. Muissa suunnissa suuttimesta suihkuaa myös ponneainetta, joka kuivuu nopeasti, mutta jättää jäljen monille pinnoille.Lähes kaiken elektroniikan puhdistaminen onnistuu purkilla paineilmaa, puhdistuslimaa ja näytönpuhdistussuihketta.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
melkein yht halpaa kuin ilma,"käyttäny tietokoneen puhdistamiseen, ajaa asiansa.",3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Erittäin käytännöllinen,"Todella kivasti sai suihkutettua vanhan näytönohjaimen puhtaaksi tällä putelilla. Samalla suihkuttelin muutkin osat kunnolla puhtaaksi. Ehdottomasti ostamisen arvoinen, jos pölynpoisto elektroniikasta kiinnostaa ja voi tällä muuten kirjahyllynkin putsata, jos laiskottaa :)",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Hyvä!,"Hinta ja laatu kohdillaan. Hiukan liian nopeasti loppuu ja tehoa vähän lisää, muuten ok.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Ei kovin riittoisa,"Pitkään käyttänyt esim kuulolaitteiden ja elektroniikan puhdistamiseen. Jouduin kerran ostamaan muualta CRC:n vastaavan tuotteen. Ihmetys kova, kun kalliimmassa CRC:ssä riittoisuus oli paljon suurempi. Hain kuitenkin nyt edullisemman taas täältä. Katsotaan oliko vähyys vain tilapäistä.",3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Halapaa ilmaa :),Hyvin toimii ja riittää. Ilmeisen edullinen paineilmapurkki.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=7,fi
Perustuote,"Edullinen tuote, toimii niin kuin pitääkin. Näissä tuotteissa en juurikaan eroja näe.",3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Mr. Muskelknutte Air Duster 400ml -Arviointi,"Kohtuullisen kelvollinen tuote, tekee mitä lupaa eli puhaltaa ilmaa kelvollisesti. Haisee kyllä ikävästi heti kun alkaa käyttää ja jättää jotain ikävää ""klähmää"" esim. Näppäimistöön ja piti puhdistaa koko näppis käsipelillä. Ei kovin riittoisa, mutta hinta-laatu suhde on aika nappiin laitettu. Ei puhdista muuta kuin kuivaa, irtonaista roskaa. 3/5 tähteä.",3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Haisevaa ilmaa,Toimiva tuote mutta haisee aika pahalle kun käyttää.,4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Peruskamaa,"Ihan OK, joski voisi olla riittoisampi, liekö makhdollista. Purkki kärsii ilmeisesti paineilmapullojen kanssa esiintyvästä perusongelmasta, eli jäähtyy ja paine laskee käytössä",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Kätevä tapa puhdistaa elektroniikkaa,"Mahtava väline omassa tapauksessa läppärin puhdistamiseen. Ilma tulee kovalla paineella eli pöly lähtee helposti jäähdytysritilöistä. Riittoisuus on vähän kysymysmerkkinä, koska kahden läppärin puhdistamisen jälkeen tuntui, että paine alkoi jo selvästi heikentyä.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Pölyt pois kannettavan tuulettimesta,Kannettava tietokone kerää ajan saatossa paljon pölyä ja likaa tuulettimeensa. Paineilmalla lähtee suurimmat pölyt pois ja näin kannettava käy viileämpänä sekä hiljaisempana. Erinomainen tuote ja hinta kohdallaan!,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Puhaltaa pölyt koneesta..,"Tämä oli varmaakin jo kymmenes ostamani air dust puhallin, älyttömän hyvä vekotin..Ja hinta on hyvä siihen verrattuna mitä air dusterilla puhalletaan, siis pölyä..",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Sopii,"erittäin hyvin tietokoneen puhdistukseen. Mukava tulevan ""pillin"" ansiosta pääsee ahtaaseenkin paikkaan puhaltelemaan pölyt pois. :)",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
"Puhinaa pullossa, ei tosin kovin pitkään..","Jos pitää ostaa paineilmaa pullossa, niin henkilökohtaisesti valitsisin toisen tuotteen. Samasta kaupasta saa hieman kalliimman, mutta paljon tehokkaamman ja riittoisamman valmisteen. Ammattilaiset käyttää sitä toista..",1,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
aika heikko,"Jos haluaa halvalla saada ja vähän tarvii käyttää, niin sitten kannattaa ostaa, muuten ei. Ilmaa pystyy puhaltelemaan 3-5 sekuntia kerralla, jonka jälkeen ilmapuhallus loppuu joksikin aikaa, jos alkaa käyttämään heti uudelleen, niin purkki alkaa kylmenemään ja kosteus jäätyy purkin pinnalle. Myöskin välillä ruiskii nestettä ulos purkista, joka kuitenkin haihtuu aika nopeasti pois. En kyllä ole kokeillu muita paineilmapurkkeja kuin tätä, niin en tiedä onko tämä parasta laatua mitä on, mutta en kuitenkaan ole tyytyväinen tähän tuotteeseen.",2,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
"Edullinen, asiansa ajava painepuhallin","Pöytäkoneen puhdistus sujui hyvin, eikä tuotteesta ole kummempaa moitittavaa tai erityistä kehuttavaa. Purkista loppui ilma kuitenkin yllättävän nopeasti. Näitä pitäisi kerralla ostaa useampi tai sitten kenties isompi purkki. Kokemusta tosin ei muista painepuhaltimista ole, eikä puhaltimen käyttö omalta osaltani välttämättä ollut kaikkein taloudellisinta.",3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Paineilma,Pienellä rahalla puhdistuapua pölyisten elektroniikka tuotteiden puhdistamiseen.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
"Huono, mutta ei parempaakaan samalla hinnalla","Surkea tuote, helposti yhdellä kertaa menee koko pullo, ja ennen kun loppuu niin ponnistekaasu heikkenee paljon. No, kuitenkin ajaa asiansa suht hyvin ja hinta jonkun vitosen niin..",2,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Hyvä,Toimii ja hoitaa hommansa niin kuin pitääkin. Myös helppo käyttää.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Mr. Muskelknutte Air Duster - ilmaa purkissa,"Tässä on tuote, joka lunastaa kaikki lupaukset. Kätevään pakkaukseen sijoitettu paineilma toimii loistavasti elektroniikan putsaajana, Varsinkin tietokoneen pölyt saavat kyytiä tämän purkin avustuksella. Sisältää pitkän ""pillin"", jonka avulla hankalimpinkiin sopukoihin ylettyy kätevästi. Myös näppäimistön putsaamisen tuote on omiaan. Lisäpisteitä tämä kyseinen purkki saa nerokkaasta liipaisinmekanismistaan. Muutaman kilpailevan tuotteen painonamiskat ovat olleet vähän heikkoja ja huonoimillaan koko muovihärpäke on rikkoutunut. Tässä Mr.Muskelknutten tuotteessa painonappi on vain toteutettu paremmin.",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Hyvä pölyn puhaltaja,"OLen ostanut näitä lukemattomia. Käytän sitä koneen, näppiksen, näyttöjen, objektiivien putsaukseen pölystä jne. jne. Käyttöä on mitä moninaisempiin hommiin. Kärsä tölkissä on kätevän pitkä.Omassa käytössäni tölkki ilmaa riittää pitkään.Suosittelen ilman muuta tuotetta. Olisi vaikea tulla toimeen ilman paineilmaa.",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Pölylle kyytiä!,Puhdistin oman nykyisen koneeni ja voi pojat että pöly lenti! Kone näyttää sisältä kuin uudelta melkein. SUOSITTELEN!,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Riittoisaa,"Noh, ajaa asiansa ja suhteellisen riittoisa. Puhdistaa helposti koneesta pölyt.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Musselnutte,Erittäin hyvä tuote kaikenlaiseen elektroniikan putsaamiseen. Käytän tätä aina kun putsaan tietokonettani.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Hintaan nähden riittävä,"Hintaansa nähden erittäin hyvä tuote, tulee puhdistettua koteloa silloin tällöin ja yleensä yksi tölkki riittää puhdistamaan sen ainakin 2 kertaa kokonaan. Jos painaa liian pitkään tölkki tosiaan kylmenee aika nopeasti ja saa käden jäätymään. Mutta jos osaa käyttää oikein tätä tuotetta ei tule itse törmättyä moiseen.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Tasavallan huonoin paineilmapurkki,"Mitä lie paineilmaa suurin osa arvostelijoista nuuhkinut. Veikkaanpa, että juurikin tätä.Paineesta ei nimittäin ole tietoakaan ja volyymiä riittää korkeintaan kolmen muurahaisen puhaltamiseen ikkunalaudalta alas, sen jälkeen saa palata kauppaan ostamaan 3-packin ja jeesusteipata kaikkien kärsät yhteen riittävän tehon saavuttamiseksi.On tässä parin vuosikymmenen ajan sen verran monet paineilmat testailtu ja koneet puhdisteltu, etten suosittelisi Muskelknuttea edes naapurin mummolle. Kalliimmat purnukat tulevat riittoisuudeltaankin huomattavasti halvemmiksi.Kirjoittaja on Verkkokauppa.comin työntekijä.",1,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Iha ok,"Kova ilmanpaine, halpa ja riittoisa. Yksi purkki riitti loistavasti koko koneen komponenttien ja kotelon puhdistukseen. pilli mukana.",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Painetta pullossa,Erittäin näppärä. Kun alkaa käyttää meinaa olla vaikeeta lopettaa :),4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Puhdistusspray,Erittäin tehokas ja helppokäyttöinen. Puhdistaa tietokoneet ja muut elektroniikkalaitteet.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=8,fi
Kohtuu ponneton,"Ärsyttävä lukkosysteemi joka pitää repiä alussa irti. Tekee suunnilleen mitä lupaa, ilmaa tulee suuttimesta, ja kyllä sillä osa pölyistä irtoaa, kun aivan viereen vie. Ei tosiaankaan parasta tehoa.",3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Mr. Muskelknutte Air Duster 400ml - tölkki paineilmaa,Ihan hyvä tuote pölyjen poistoon. Purkin riittoisuus saisi olla parempi ja hintapaineilmalle turhan kallis.,3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Puhdistaa mutta jäätyy,Tuotteen paine on hyvä ja myös putsausteho mutta liiallinen käyttö valitettavasti jäädyttää itse purkin liian nopeasti eli hetkellinen toiminta ok mutta pidempi ei.,3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
toimiva,"liipaisin systeemi auttaa hankalissa paikoissa suihkuttamista, mutta tuntuu hauraalta.",3,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Pakollinen ostos,Täytyy sanoa että oli kyllä hyvää ja jotenkin erityislaatuista ilmaa. Ero muihin ilmoihin oli valtava.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Mahtava tuote!,Aivan loistava tuote komponenttien putsaamiseen! Tällä tusautat pölyt komponentista niin kaverin silmään kuin omaasi! :D,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Muskelia kehiin,"Jep, toimii ja tuo muskelia samalla. Alaspäin kääntämällä saa myös jäätävää suihkua kaverin käteen tai kaljatölkkiin.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Hinta-/laatusuhde kohdillaan.,"Kun muistaa pitää purkin pystyssä niin hintaansa nähden täyttää tarkoituksensa paremmin kuin hyvin. Jokainen joka haluaa ostaa ""laadukkaamman"" purnukan, voi sen hyvällä omallatunnolla tehdä, mutta tämä ajaa asiansa aivan siinä missä nuo kalliimmatkin.Itse käyttänyt Muskelnuttia useampia pulloja ja verrokkina näitä aikaisemmin käyttänyt mm. 3x kalliimpaa tuotetta. Kalliimpi tuote ei kyllä omassa käytössäni suoriutunut juurikaan sen paremmin kuin Muskelipullo. Käyttökohteina näppäimistö+tietokoneen muut komponentit, palovaroittimien puhdistus sekä aseenpuhdistus.",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
tasavallan halvin ja luultavasti huonoin paineilmapurkki,"Paineilmapurkin tärkein ominaisuus on paineilma, siis PAINEilma. Koska vertailuja ei tässä arvioinnissa saa tehdä, niin ainoastaan kehotan katselemaan huikan tarkemmin ympärilleen Verkkokaupassa. Muskelknutten paine on niin heikko että se ei riitä niihin tehtäviin joita kunnon paineilmapurkilla pitäisi saada aikaan. Jos ei tiedä paremmasta, niin tietysti voi olla onnellinen Muskelknuttestakin.",1,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Ajaa saman asian kuin kalliimmat,"Lyhyitä suihkutuksia pystyasennossa, niin toimii loistavasti, eikä tule ponneainetta tai jäädy. Haisee, mutta puhdistaa yhtä tehokkaasti kuin kalliimatkin",5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Mahtava,Puhdistaa juuri niin kuin pitääkin. Mikään paikka ei jää pölyiseksi. Mahtava tuote!,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Paineilmaa pieniin puhdistuksiin,Oikein hyvä paineilmapullo esim: Tietokoneen näppäimien välien puhdistuksiin.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Brodeerauksessa,"Hyvä tuote pikku puhalluksiin ,esim lankapuolan puhdistuksessa",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Puhdasta tulee,Tämä on ainoa paineilmapurkki jonka olen ostanut joten en voi verrata sitä mihinkään. Mutta sen voin sanoa että kun ostin sen aikoinaan ja käytin kerran jonka jälkeen unohdin sen vuosiksi ja nyt kun käyttänyt sitä taas niin toimii edelleen ja puhdistaminen onnistuu loistavasti. Myös siihen voin yhtyä mitä muutkin arvostelijat ovat sanoneet että haisee todella pahalle ja kannattaa käyttää sitä pystyasennossa eikä varsinkaan ylösalaisin jolloin tulee valkoista kaasua/jäätä joka poistuu nopeasti.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Röörit puhtaiksi,Hyvin puhdistaa pölyt tietokoneesta pois! Suosittelen lämmöllä kaikille.,5,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
Hyvä ja riittoisa,"Hyvä ja riittoisa painepakkaus, jota pitää muistaa käyttää pystysuunnassa ettei ponneainetta tule ulos.",4,https://www.verkkokauppa.com/fi/product/77850/Mr-Muskelknutte-Air-Duster-400ml-paineilmatolkki/reviews?page=9,fi
